ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
1,"Male",2019,"2019",1,"Full-time","1191XX","Other managers",126234.10044554237,10138.779870434208,68007,6327.371801434571,658,"Washington","04000US53"
1,"Male",2019,"2019",1,"Full-time","151252","Software developers",165713.58840642875,8471.296490495033,91775,7319.602873984691,794,"Washington","04000US53"
1,"Male",2019,"2019",1,"Full-time","533030","Driver/sales workers & truck drivers",55871.906573819244,3864.531593267665,54139,5659.22919686125,506,"Washington","04000US53"
1,"Male",2019,"2019",1,"Full-time","291141","Registered nurses",77864.01828423676,7929.223262016961,10829,2550.1188133348946,81,"Washington","04000US53"
1,"Male",2019,"2019",1,"Full-time","412031","Retail salespersons",55801.377540834845,8895.421072294823,22040,3631.0464816697036,217,"Washington","04000US53"
2,"Female",2019,"2019",1,"Full-time","1191XX","Other managers",95789.65962986599,9191.918347079049,39175,4826.585377939735,408,"Washington","04000US53"
2,"Female",2019,"2019",1,"Full-time","151252","Software developers",131917.9589629394,13868.166237472284,18861,3360.833180252972,166,"Washington","04000US53"
2,"Female",2019,"2019",1,"Full-time","533030","Driver/sales workers & truck drivers",40208.00568551007,17687.57643500104,6156,1924.2646920900108,45,"Washington","04000US53"
2,"Female",2019,"2019",1,"Full-time","291141","Registered nurses",76393.27594121962,3781.280936033697,42259,5010.280149034073,425,"Washington","04000US53"
2,"Female",2019,"2019",1,"Full-time","412031","Retail salespersons",38205.40691309429,5936.875139098814,16259,3121.8109563000226,153,"Washington","04000US53"
1,"Male",2018,"2018",1,"Full-time","1191XX","Other managers",126863.31871169331,9844.005531389908,66568,6259.631536963376,666,"Washington","04000US53"
1,"Male",2018,"2018",1,"Full-time","151252","Software developers",156794.12763290553,9472.166698887377,73398,6564.805037304059,661,"Washington","04000US53"
1,"Male",2018,"2018",1,"Full-time","533030","Driver/sales workers & truck drivers",49502.95864101108,3309.537205451032,56336,5769.125301676699,534,"Washington","04000US53"
1,"Male",2018,"2018",1,"Full-time","291141","Registered nurses",94909.00199302442,25250.79809690558,6021,1903.0380788747855,75,"Washington","04000US53"
1,"Male",2018,"2018",1,"Full-time","412031","Retail salespersons",54903.4863657053,9084.48967344484,24167,3800.3835250019174,208,"Washington","04000US53"
2,"Female",2018,"2018",1,"Full-time","1191XX","Other managers",96219.0600997727,10168.681187666909,33877,4491.767003179493,353,"Washington","04000US53"
2,"Female",2018,"2018",1,"Full-time","151252","Software developers",115816.20738695202,10037.93399875577,14485,2947.2831889804165,124,"Washington","04000US53"
2,"Female",2018,"2018",1,"Full-time","533030","Driver/sales workers & truck drivers",40929.67962417097,10061.125508615334,5428,1807.0850359090846,44,"Washington","04000US53"
2,"Female",2018,"2018",1,"Full-time","291141","Registered nurses",75760.44815656032,4555.258920844782,37864,4745.355433691604,388,"Washington","04000US53"
2,"Female",2018,"2018",1,"Full-time","412031","Retail salespersons",39743.15658759327,8582.520173699879,17958,3279.624326813756,151,"Washington","04000US53"
1,"Male",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",51432.04055028854,3431.7047614752732,58224,5861.589836771868,556,"Washington","04000US53"
1,"Male",2017,"2017",1,"Full-time","291141","Registered nurses",79326.35748609004,7614.546178443398,7908,2180.1562717775114,83,"Washington","04000US53"
1,"Male",2017,"2017",1,"Full-time","412031","Retail salespersons",56789.9330749677,7919.898065841317,23997,3786.7350746273964,230,"Washington","04000US53"
2,"Female",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",31839.37901234568,7041.213501299833,3240,1396.6682692992972,34,"Washington","04000US53"
2,"Female",2017,"2017",1,"Full-time","291141","Registered nurses",75413.93962727638,3271.7084692559515,42337,5012.936104163551,417,"Washington","04000US53"
2,"Female",2017,"2017",1,"Full-time","412031","Retail salespersons",33585.19070922504,5185.170218467124,13691,2865.609566941357,117,"Washington","04000US53"
1,"Male",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",47561.571292371074,2572.4843604275384,58737,5884.165508453455,495,"Washington","04000US53"
1,"Male",2016,"2016",1,"Full-time","291141","Registered nurses",74742.74397749253,10719.80774406522,5687,1849.4896243611938,54,"Washington","04000US53"
1,"Male",2016,"2016",1,"Full-time","412031","Retail salespersons",53290.38217722443,8410.684072466374,21927,3620.495655536177,208,"Washington","04000US53"
2,"Female",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",63489.296790757384,47142.30529416695,3895,1531.1244129084744,31,"Washington","04000US53"
2,"Female",2016,"2016",1,"Full-time","291141","Registered nurses",70051.43545026048,3475.7568468421596,40310,4891.784147752828,390,"Washington","04000US53"
2,"Female",2016,"2016",1,"Full-time","412031","Retail salespersons",30569.846688412992,6455.088849885899,14102,2907.7799353730984,121,"Washington","04000US53"
1,"Male",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",44730.87690275145,2877.9207627601977,52227,5553.479782906794,487,"Washington","04000US53"
1,"Male",2015,"2015",1,"Full-time","291141","Registered nurses",79252.73479087453,10839.018317398826,4208,1591.317645677917,46,"Washington","04000US53"
1,"Male",2015,"2015",1,"Full-time","412031","Retail salespersons",47080.94998640935,6269.865536475056,22074,3631.972996711894,199,"Washington","04000US53"
2,"Female",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",39154.2739039666,8674.69245107527,2395,1200.9505210861746,28,"Washington","04000US53"
2,"Female",2015,"2015",1,"Full-time","291141","Registered nurses",70384.56528230185,3770.2654159536482,36840,4678.4300494324625,369,"Washington","04000US53"
2,"Female",2015,"2015",1,"Full-time","412031","Retail salespersons",30518.059371671992,5022.225157367202,15024,3000.507586832159,133,"Washington","04000US53"
1,"Male",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",44666.23305401902,2461.0839016962905,54777,5682.905706179363,504,"Washington","04000US53"
1,"Male",2014,"2014",1,"Full-time","291141","Registered nurses",84384.52637818613,18451.211113274894,8435,2251.0467651752765,72,"Washington","04000US53"
1,"Male",2014,"2014",1,"Full-time","412031","Retail salespersons",50168.54446308725,7386.258935161416,25032,3864.9211355401985,236,"Washington","04000US53"
2,"Female",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",35305.76980697206,8641.421749859017,3471,1445.4425138642937,30,"Washington","04000US53"
2,"Female",2014,"2014",1,"Full-time","291141","Registered nurses",67831.72989661522,3557.7917518241566,35305,4580.460543269198,353,"Washington","04000US53"
2,"Female",2014,"2014",1,"Full-time","412031","Retail salespersons",32788.25254207052,6036.6978117997405,16817,3173.1134358812046,156,"Washington","04000US53"